date;pib_rs_sa;pib_rs_nsa
mar/02;97,53998251;99,42987734
jun/02;101,197999;103,823852
set/02;100,0866203;94,50733649
dez/02;101,1282986;102,2389342
mar/03;98,85222381;100,6728303
jun/03;108,3958803;111,2083566
set/03;98,30562877;92,9195602
dez/03;102,1818124;103,3207556
mar/04;106,3024386;108,0795419
jun/04;104,2159672;106,9447362
set/04;105,1760745;99,58108873
dez/04;105,6501258;106,8876643
mar/05;103,6792894;105,0781396
jun/05;100,7204943;103,4360292
set/05;103,250594;97,98955666
dez/05;102,0954876;103,4370911
mar/06;104,056464;104,8354775
jun/06;107,0106127;110,1516131
set/06;106,5373018;101,4377585
dez/06;108,6890877;110,163902
mar/07;111,53296;111,5767663
jun/07;113,4588243;117,288325
set/07;112,7928047;107,7377766
dez/07;117,3293957;118,7363838
mar/08;116,5618072;115,8948055
jun/08;115,9357736;120,5158525
set/08;120,694805;115,5456341
dez/08;115,4812782;116,4631577
mar/09;110,4154748;109,4045696
jun/09;115,3394945;120,4779637
set/09;117,1122019;112,3894116
dez/09;120,599114;120,9979415
mar/10;122,8798698;121,4456161
jun/10;123,0047835;129,349081
set/10;125,1139629;120,1226801
dez/10;124,598187;124,2391379
mar/11;130,1219754;128,4591903
jun/11;129,4936344;137,2038162
set/11;129,2877261;124,0654739
dez/11;129,4575665;128,1075242
mar/12;126,2720727;124,6171371
jun/12;119,5251651;127,8457421
set/12;131,0472942;125,3454648
dez/12;131,3478697;129,1019376
mar/13;133,8563519;132,1180523
jun/13;139,706678;150,7242204
set/13;138,2433392;131,8946996
dez/13;138,7226769;135,4033295
mar/14;139,3009502;137,4096508
jun/14;136,9645904;149,180181
set/14;137,2073605;130,4218869
dez/14;135,6425541;131,6016918
mar/15;134,4476082;132,7283228
jun/15;132,8542832;145,5242654
set/15;128,7749446;122,2764498
dez/15;127,2115819;122,8108685
mar/16;127,736154;126,1147317
jun/16;128,1300283;140,9072375
set/16;127,5425389;121,0135822
dez/16;127,2225965;122,6518043
mar/17;130,5946802;128,7469562
jun/17;132,5977003;145,8945848
set/17;127,1706146;120,9782862
dez/17;128,853349;124,242656
mar/18;131,5656598;129,1651999
jun/18;128,4018718;141,4825921
set/18;135,1631567;128,7648325
dez/18;135,2255896;130,6582059
mar/19;134,1648643;131,2507438
jun/19;134,9419502;148,4571245
set/19;132,7272013;126,8815509
dez/19;133,3255218;129,0803702
mar/20;129,5963202;126,3009824
jun/20;109,6570918;120,6465859
set/20;128,3801228;122,8310121
dez/20;131,2348191;127,2570825
mar/21;135,7309365;132,1617017
jun/21;141,0602126;155,0246848
set/21;131,1416097;125,5808748
dez/21;134,5654634;130,3886762
mar/22;132,153844;128,8725231
jun/22;125,9557625;138,5270068
set/22;135,2645125;129,1742814
dez/22;136,7701911;132,3938015
mar/23;133,4101284;130,6914051
jun/23;134,9900076;148,2593007
set/23;135,1054289;128,7737146
dez/23;135,9305366;131,4452289
mar/24;141,6602546;139,2724848
jun/24;141,4858973;155,3950941
set/24;140,7270661;133,7665232
dez/24;141,9101892;137,1441673
mar/25;143,8004295;141,7913094
